I,iFail,nMin,nE04,nCall,P,V,T,RH,Volume(aq),n_Na(aq),n_Cl(aq),n_H2O(aq),n_H2O(g),n_HCl(g),Density(aq),SurfTens(aq),m_Na(aq),m_Cl(aq),x_Na(aq),x_Cl(aq),x_H2O(aq),f_Na(aq),f_Cl(aq),f_H2O(aq),p_H2O(g),p_HCl(g),total_Na,total_Cl,total_H2O
1,0,1,1,6,1,1,298.15,0.01,4.32E+01,1.00E+00,1.00E+00,9.71E-01,1.28E-02,0.00E+00,1.76E+00,1.23E+02,5.72E+01,5.72E+01,3.37E-01,3.37E-01,3.27E-01,6.58E+01,6.58E+01,3.06E-02,3.13E-04,0.00E+00,1.00E+00,1.00E+00,9.84E-01
2,0,1,1,6,1,1,298.15,0.01999,4.67E+01,1.00E+00,1.00E+00,1.18E+00,2.56E-02,0.00E+00,1.71E+00,1.18E+02,4.71E+01,4.71E+01,3.15E-01,3.15E-01,3.71E-01,4.86E+01,4.86E+01,5.39E-02,6.25E-04,0.00E+00,1.00E+00,1.00E+00,1.20E+00
3,0,1,1,7,1,1,298.15,0.02998,4.92E+01,1.00E+00,1.00E+00,1.33E+00,3.83E-02,0.00E+00,1.68E+00,1.15E+02,4.18E+01,4.18E+01,3.01E-01,3.01E-01,3.99E-01,3.95E+01,3.95E+01,7.52E-02,9.37E-04,0.00E+00,1.00E+00,1.00E+00,1.36E+00
4,0,1,1,6,1,1,298.15,0.03997,5.12E+01,1.00E+00,1.00E+00,1.45E+00,5.11E-02,0.00E+00,1.65E+00,1.13E+02,3.83E+01,3.83E+01,2.90E-01,2.90E-01,4.20E-01,3.35E+01,3.35E+01,9.52E-02,1.25E-03,0.00E+00,1.00E+00,1.00E+00,1.50E+00
5,0,1,1,7,1,1,298.15,0.04996,5.30E+01,1.00E+00,1.00E+00,1.55E+00,6.39E-02,0.00E+00,1.63E+00,1.11E+02,3.57E+01,3.57E+01,2.81E-01,2.81E-01,4.37E-01,2.92E+01,2.92E+01,1.14E-01,1.56E-03,0.00E+00,1.00E+00,1.00E+00,1.62E+00
6,0,1,1,6,1,1,298.15,0.05995,5.46E+01,1.00E+00,1.00E+00,1.65E+00,7.67E-02,0.00E+00,1.61E+00,1.10E+02,3.37E+01,3.37E+01,2.74E-01,2.74E-01,4.52E-01,2.59E+01,2.59E+01,1.33E-01,1.87E-03,0.00E+00,1.00E+00,1.00E+00,1.72E+00
7,0,1,1,7,1,1,298.15,0.06994,5.61E+01,1.00E+00,1.00E+00,1.74E+00,8.95E-02,0.00E+00,1.60E+00,1.09E+02,3.20E+01,3.20E+01,2.68E-01,2.68E-01,4.65E-01,2.33E+01,2.33E+01,1.51E-01,2.19E-03,0.00E+00,1.00E+00,1.00E+00,1.82E+00
8,0,1,1,5,1,1,298.15,0.07993,5.75E+01,1.00E+00,1.00E+00,1.82E+00,1.02E-01,0.00E+00,1.59E+00,1.08E+02,3.05E+01,3.05E+01,2.62E-01,2.62E-01,4.76E-01,2.12E+01,2.12E+01,1.68E-01,2.50E-03,0.00E+00,1.00E+00,1.00E+00,1.92E+00
9,0,1,1,6,1,1,298.15,0.08992,5.88E+01,1.00E+00,1.00E+00,1.90E+00,1.15E-01,0.00E+00,1.57E+00,1.07E+02,2.93E+01,2.93E+01,2.57E-01,2.57E-01,4.87E-01,1.94E+01,1.94E+01,1.85E-01,2.81E-03,0.00E+00,1.00E+00,1.00E+00,2.01E+00
10,0,1,1,6,1,1,298.15,0.09991,6.01E+01,1.00E+00,1.00E+00,1.97E+00,1.28E-01,0.00E+00,1.56E+00,1.06E+02,2.82E+01,2.82E+01,2.52E-01,2.52E-01,4.96E-01,1.78E+01,1.78E+01,2.01E-01,3.12E-03,0.00E+00,1.00E+00,1.00E+00,2.10E+00
11,0,1,1,6,1,1,298.15,0.1099,6.13E+01,1.00E+00,1.00E+00,2.04E+00,1.41E-01,0.00E+00,1.55E+00,1.05E+02,2.72E+01,2.72E+01,2.47E-01,2.47E-01,5.05E-01,1.65E+01,1.65E+01,2.18E-01,3.43E-03,0.00E+00,1.00E+00,1.00E+00,2.18E+00
12,0,1,1,6,1,1,298.15,0.11989,6.25E+01,1.00E+00,1.00E+00,2.11E+00,1.54E-01,0.00E+00,1.54E+00,1.04E+02,2.63E+01,2.63E+01,2.43E-01,2.43E-01,5.14E-01,1.53E+01,1.53E+01,2.33E-01,3.75E-03,0.00E+00,1.00E+00,1.00E+00,2.27E+00
13,0,1,1,6,1,1,298.15,0.12988,6.37E+01,1.00E+00,1.00E+00,2.18E+00,1.67E-01,0.00E+00,1.53E+00,1.03E+02,2.55E+01,2.55E+01,2.39E-01,2.39E-01,5.22E-01,1.43E+01,1.43E+01,2.49E-01,4.06E-03,0.00E+00,1.00E+00,1.00E+00,2.35E+00
14,0,1,1,6,1,1,298.15,0.13987,6.48E+01,1.00E+00,1.00E+00,2.25E+00,1.79E-01,0.00E+00,1.53E+00,1.03E+02,2.47E+01,2.47E+01,2.35E-01,2.35E-01,5.29E-01,1.34E+01,1.34E+01,2.64E-01,4.37E-03,0.00E+00,1.00E+00,1.00E+00,2.43E+00
15,0,1,1,6,1,1,298.15,0.14986,6.60E+01,1.00E+00,1.00E+00,2.31E+00,1.92E-01,0.00E+00,1.52E+00,1.02E+02,2.40E+01,2.40E+01,2.32E-01,2.32E-01,5.36E-01,1.26E+01,1.26E+01,2.79E-01,4.68E-03,0.00E+00,1.00E+00,1.00E+00,2.51E+00
16,0,1,1,6,1,1,298.15,0.15985,6.71E+01,1.00E+00,1.00E+00,2.38E+00,2.05E-01,0.00E+00,1.51E+00,1.02E+02,2.33E+01,2.33E+01,2.28E-01,2.28E-01,5.43E-01,1.18E+01,1.18E+01,2.94E-01,5.00E-03,0.00E+00,1.00E+00,1.00E+00,2.58E+00
17,0,1,1,6,1,1,298.15,0.16984,6.82E+01,1.00E+00,1.00E+00,2.44E+00,2.18E-01,0.00E+00,1.50E+00,1.01E+02,2.27E+01,2.27E+01,2.25E-01,2.25E-01,5.50E-01,1.11E+01,1.11E+01,3.09E-01,5.31E-03,0.00E+00,1.00E+00,1.00E+00,2.66E+00
18,0,1,1,6,1,1,298.15,0.17983,6.93E+01,1.00E+00,1.00E+00,2.51E+00,2.31E-01,0.00E+00,1.49E+00,1.00E+02,2.21E+01,2.21E+01,2.22E-01,2.22E-01,5.56E-01,1.05E+01,1.05E+01,3.23E-01,5.62E-03,0.00E+00,1.00E+00,1.00E+00,2.74E+00
19,0,1,1,6,1,1,298.15,0.18982,7.04E+01,1.00E+00,1.00E+00,2.57E+00,2.44E-01,0.00E+00,1.49E+00,1.00E+02,2.16E+01,2.16E+01,2.19E-01,2.19E-01,5.62E-01,9.97E+00,9.97E+00,3.38E-01,5.93E-03,0.00E+00,1.00E+00,1.00E+00,2.81E+00
20,0,1,1,6,1,1,298.15,0.19981,7.15E+01,1.00E+00,1.00E+00,2.63E+00,2.57E-01,0.00E+00,1.48E+00,9.95E+01,2.11E+01,2.11E+01,2.16E-01,2.16E-01,5.68E-01,9.46E+00,9.46E+00,3.52E-01,6.24E-03,0.00E+00,1.00E+00,1.00E+00,2.89E+00
21,0,1,1,6,1,1,298.15,0.2098,7.26E+01,1.00E+00,1.00E+00,2.70E+00,2.70E-01,0.00E+00,1.47E+00,9.90E+01,2.06E+01,2.06E+01,2.13E-01,2.13E-01,5.74E-01,8.98E+00,8.98E+00,3.65E-01,6.56E-03,0.00E+00,1.00E+00,1.00E+00,2.97E+00
22,0,1,1,6,1,1,298.15,0.21979,7.37E+01,1.00E+00,1.00E+00,2.76E+00,2.83E-01,0.00E+00,1.47E+00,9.85E+01,2.01E+01,2.01E+01,2.10E-01,2.10E-01,5.80E-01,8.55E+00,8.55E+00,3.79E-01,6.87E-03,0.00E+00,1.00E+00,1.00E+00,3.04E+00
23,0,1,1,6,1,1,298.15,0.22978,7.48E+01,1.00E+00,1.00E+00,2.82E+00,2.96E-01,0.00E+00,1.46E+00,9.81E+01,1.97E+01,1.97E+01,2.07E-01,2.07E-01,5.85E-01,8.14E+00,8.14E+00,3.93E-01,7.18E-03,0.00E+00,1.00E+00,1.00E+00,3.12E+00
24,0,1,1,6,1,1,298.15,0.23977,7.59E+01,1.00E+00,1.00E+00,2.88E+00,3.09E-01,0.00E+00,1.46E+00,9.76E+01,1.92E+01,1.92E+01,2.05E-01,2.05E-01,5.91E-01,7.76E+00,7.76E+00,4.06E-01,7.49E-03,0.00E+00,1.00E+00,1.00E+00,3.19E+00
25,0,1,1,6,1,1,298.15,0.24976,7.70E+01,1.00E+00,1.00E+00,2.95E+00,3.22E-01,0.00E+00,1.45E+00,9.72E+01,1.88E+01,1.88E+01,2.02E-01,2.02E-01,5.96E-01,7.40E+00,7.40E+00,4.19E-01,7.81E-03,0.00E+00,1.00E+00,1.00E+00,3.27E+00
26,0,1,1,6,1,1,298.15,0.25975,7.81E+01,1.00E+00,1.00E+00,3.01E+00,3.35E-01,0.00E+00,1.44E+00,9.68E+01,1.84E+01,1.84E+01,2.00E-01,2.00E-01,6.01E-01,7.07E+00,7.07E+00,4.32E-01,8.12E-03,0.00E+00,1.00E+00,1.00E+00,3.35E+00
27,0,1,1,6,1,1,298.15,0.26974,7.92E+01,1.00E+00,1.00E+00,3.07E+00,3.48E-01,0.00E+00,1.44E+00,9.64E+01,1.81E+01,1.81E+01,1.97E-01,1.97E-01,6.06E-01,6.76E+00,6.76E+00,4.45E-01,8.43E-03,0.00E+00,1.00E+00,1.00E+00,3.42E+00
28,0,1,1,6,1,1,298.15,0.27973,8.03E+01,1.00E+00,1.00E+00,3.14E+00,3.61E-01,0.00E+00,1.43E+00,9.60E+01,1.77E+01,1.77E+01,1.95E-01,1.95E-01,6.11E-01,6.47E+00,6.47E+00,4.58E-01,8.74E-03,0.00E+00,1.00E+00,1.00E+00,3.50E+00
29,0,1,1,6,1,1,298.15,0.28972,8.14E+01,1.00E+00,1.00E+00,3.20E+00,3.73E-01,0.00E+00,1.43E+00,9.56E+01,1.73E+01,1.73E+01,1.92E-01,1.92E-01,6.16E-01,6.20E+00,6.20E+00,4.71E-01,9.05E-03,0.00E+00,1.00E+00,1.00E+00,3.58E+00
30,0,1,1,6,1,1,298.15,0.29971,8.26E+01,1.00E+00,1.00E+00,3.27E+00,3.86E-01,0.00E+00,1.42E+00,9.52E+01,1.70E+01,1.70E+01,1.90E-01,1.90E-01,6.20E-01,5.94E+00,5.94E+00,4.83E-01,9.37E-03,0.00E+00,1.00E+00,1.00E+00,3.66E+00
31,0,1,1,6,1,1,298.15,0.3097,8.37E+01,1.00E+00,1.00E+00,3.34E+00,4.00E-01,0.00E+00,1.42E+00,9.49E+01,1.66E+01,1.66E+01,1.87E-01,1.87E-01,6.25E-01,5.70E+00,5.70E+00,4.95E-01,9.68E-03,0.00E+00,1.00E+00,1.00E+00,3.73E+00
32,0,1,1,6,1,1,298.15,0.31969,8.49E+01,1.00E+00,1.00E+00,3.40E+00,4.13E-01,0.00E+00,1.41E+00,9.45E+01,1.63E+01,1.63E+01,1.85E-01,1.85E-01,6.30E-01,5.47E+00,5.47E+00,5.08E-01,9.99E-03,0.00E+00,1.00E+00,1.00E+00,3.81E+00
33,0,1,1,6,1,1,298.15,0.32968,8.61E+01,1.00E+00,1.00E+00,3.47E+00,4.26E-01,0.00E+00,1.41E+00,9.42E+01,1.60E+01,1.60E+01,1.83E-01,1.83E-01,6.34E-01,5.26E+00,5.26E+00,5.20E-01,1.03E-02,0.00E+00,1.00E+00,1.00E+00,3.90E+00
34,0,1,1,6,1,1,298.15,0.33967,8.73E+01,1.00E+00,1.00E+00,3.54E+00,4.39E-01,0.00E+00,1.40E+00,9.38E+01,1.57E+01,1.57E+01,1.81E-01,1.81E-01,6.39E-01,5.05E+00,5.05E+00,5.32E-01,1.06E-02,0.00E+00,1.00E+00,1.00E+00,3.98E+00
35,0,1,1,6,1,1,298.15,0.34966,8.85E+01,1.00E+00,1.00E+00,3.61E+00,4.52E-01,0.00E+00,1.39E+00,9.35E+01,1.54E+01,1.54E+01,1.78E-01,1.78E-01,6.43E-01,4.86E+00,4.86E+00,5.44E-01,1.09E-02,0.00E+00,1.00E+00,1.00E+00,4.06E+00
36,0,1,1,6,1,1,298.15,0.35965,8.97E+01,1.00E+00,1.00E+00,3.68E+00,4.65E-01,0.00E+00,1.39E+00,9.31E+01,1.51E+01,1.51E+01,1.76E-01,1.76E-01,6.48E-01,4.67E+00,4.67E+00,5.55E-01,1.12E-02,0.00E+00,1.00E+00,1.00E+00,4.14E+00
37,0,1,1,6,1,1,298.15,0.36964,9.10E+01,1.00E+00,1.00E+00,3.75E+00,4.78E-01,0.00E+00,1.38E+00,9.28E+01,1.48E+01,1.48E+01,1.74E-01,1.74E-01,6.52E-01,4.49E+00,4.49E+00,5.67E-01,1.16E-02,0.00E+00,1.00E+00,1.00E+00,4.23E+00
38,0,1,1,6,1,1,298.15,0.37963,9.23E+01,1.00E+00,1.00E+00,3.82E+00,4.91E-01,0.00E+00,1.38E+00,9.25E+01,1.45E+01,1.45E+01,1.72E-01,1.72E-01,6.57E-01,4.33E+00,4.33E+00,5.78E-01,1.19E-02,0.00E+00,1.00E+00,1.00E+00,4.31E+00
39,0,1,1,6,1,1,298.15,0.38962,9.36E+01,1.00E+00,1.00E+00,3.90E+00,5.04E-01,0.00E+00,1.38E+00,9.22E+01,1.42E+01,1.42E+01,1.70E-01,1.70E-01,6.61E-01,4.17E+00,4.17E+00,5.90E-01,1.22E-02,0.00E+00,1.00E+00,1.00E+00,4.40E+00
40,0,1,1,6,1,1,298.15,0.39961,9.49E+01,1.00E+00,1.00E+00,3.97E+00,5.17E-01,0.00E+00,1.37E+00,9.18E+01,1.40E+01,1.40E+01,1.67E-01,1.67E-01,6.65E-01,4.02E+00,4.02E+00,6.01E-01,1.25E-02,0.00E+00,1.00E+00,1.00E+00,4.49E+00
41,0,1,1,6,1,1,298.15,0.4096,9.62E+01,1.00E+00,1.00E+00,4.05E+00,5.30E-01,0.00E+00,1.37E+00,9.15E+01,1.37E+01,1.37E+01,1.65E-01,1.65E-01,6.69E-01,3.87E+00,3.87E+00,6.12E-01,1.28E-02,0.00E+00,1.00E+00,1.00E+00,4.58E+00
42,0,1,1,6,1,1,298.15,0.41959,9.76E+01,1.00E+00,1.00E+00,4.13E+00,5.43E-01,0.00E+00,1.36E+00,9.12E+01,1.34E+01,1.34E+01,1.63E-01,1.63E-01,6.74E-01,3.73E+00,3.73E+00,6.23E-01,1.31E-02,0.00E+00,1.00E+00,1.00E+00,4.67E+00
43,0,1,1,6,1,1,298.15,0.42958,9.90E+01,1.00E+00,1.00E+00,4.21E+00,5.56E-01,0.00E+00,1.36E+00,9.09E+01,1.32E+01,1.32E+01,1.61E-01,1.61E-01,6.78E-01,3.60E+00,3.60E+00,6.34E-01,1.34E-02,0.00E+00,1.00E+00,1.00E+00,4.76E+00
44,0,1,1,6,1,1,298.15,0.43957,1.00E+02,1.00E+00,1.00E+00,4.29E+00,5.69E-01,0.00E+00,1.35E+00,9.06E+01,1.29E+01,1.29E+01,1.59E-01,1.59E-01,6.82E-01,3.47E+00,3.47E+00,6.45E-01,1.37E-02,0.00E+00,1.00E+00,1.00E+00,4.86E+00
45,0,1,1,6,1,1,298.15,0.44956,1.02E+02,1.00E+00,1.00E+00,4.37E+00,5.82E-01,0.00E+00,1.35E+00,9.03E+01,1.27E+01,1.27E+01,1.57E-01,1.57E-01,6.86E-01,3.35E+00,3.35E+00,6.55E-01,1.41E-02,0.00E+00,1.00E+00,1.00E+00,4.95E+00
46,0,1,1,6,1,1,298.15,0.45955,1.03E+02,1.00E+00,1.00E+00,4.46E+00,5.96E-01,0.00E+00,1.34E+00,9.00E+01,1.25E+01,1.25E+01,1.55E-01,1.55E-01,6.90E-01,3.24E+00,3.24E+00,6.66E-01,1.44E-02,0.00E+00,1.00E+00,1.00E+00,5.05E+00
47,0,1,1,5,1,1,298.15,0.46954,1.05E+02,1.00E+00,1.00E+00,4.55E+00,6.09E-01,0.00E+00,1.34E+00,8.97E+01,1.22E+01,1.22E+01,1.53E-01,1.53E-01,6.94E-01,3.13E+00,3.13E+00,6.76E-01,1.47E-02,0.00E+00,1.00E+00,1.00E+00,5.15E+00
48,0,1,1,6,1,1,298.15,0.47953,1.07E+02,1.00E+00,1.00E+00,4.64E+00,6.22E-01,0.00E+00,1.33E+00,8.94E+01,1.20E+01,1.20E+01,1.51E-01,1.51E-01,6.99E-01,3.02E+00,3.02E+00,6.86E-01,1.50E-02,0.00E+00,1.00E+00,1.00E+00,5.26E+00
49,0,1,1,6,1,1,298.15,0.48952,1.08E+02,1.00E+00,1.00E+00,4.73E+00,6.35E-01,0.00E+00,1.33E+00,8.91E+01,1.17E+01,1.17E+01,1.49E-01,1.49E-01,7.03E-01,2.92E+00,2.92E+00,6.97E-01,1.53E-02,0.00E+00,1.00E+00,1.00E+00,5.36E+00
