I,iFail,nMin,nE04,nCall,P,V,T,RH,Volume(aq),n_Na(aq),n_Cl(aq),n_H2O(aq),n_H2O(g),n_HCl(g),Density(aq),SurfTens(aq),m_Na(aq),m_Cl(aq),x_Na(aq),x_Cl(aq),x_H2O(aq),f_Na(aq),f_Cl(aq),f_H2O(aq),p_H2O(g),p_HCl(g),total_Na,total_Cl,total_H2O
50,0,1,1,6,1,1,298.15,0.49951,1.10E+02,1.00E+00,1.00E+00,4.82E+00,6.48E-01,0.00E+00,1.32E+00,8.88E+01,1.15E+01,1.15E+01,1.47E-01,1.47E-01,7.07E-01,2.82E+00,2.82E+00,7.07E-01,1.56E-02,0.00E+00,1.00E+00,1.00E+00,5.47E+00
51,0,1,1,6,1,1,298.15,0.50949,1.12E+02,1.00E+00,1.00E+00,4.92E+00,6.61E-01,0.00E+00,1.32E+00,8.86E+01,1.13E+01,1.13E+01,1.45E-01,1.45E-01,7.11E-01,2.73E+00,2.73E+00,7.17E-01,1.59E-02,0.00E+00,1.00E+00,1.00E+00,5.58E+00
52,0,1,1,6,1,1,298.15,0.51948,1.13E+02,1.00E+00,1.00E+00,5.02E+00,6.75E-01,0.00E+00,1.31E+00,8.83E+01,1.11E+01,1.11E+01,1.42E-01,1.42E-01,7.15E-01,2.63E+00,2.63E+00,7.26E-01,1.62E-02,0.00E+00,1.00E+00,1.00E+00,5.70E+00
53,0,1,1,6,1,1,298.15,0.52947,1.15E+02,1.00E+00,1.00E+00,5.12E+00,6.88E-01,0.00E+00,1.31E+00,8.80E+01,1.08E+01,1.08E+01,1.40E-01,1.40E-01,7.19E-01,2.55E+00,2.55E+00,7.36E-01,1.65E-02,0.00E+00,1.00E+00,1.00E+00,5.81E+00
54,0,1,1,6,1,1,298.15,0.53946,1.17E+02,1.00E+00,1.00E+00,5.23E+00,7.01E-01,0.00E+00,1.30E+00,8.77E+01,1.06E+01,1.06E+01,1.38E-01,1.38E-01,7.23E-01,2.46E+00,2.46E+00,7.46E-01,1.69E-02,0.00E+00,1.00E+00,1.00E+00,5.93E+00
55,0,1,1,6,1,1,298.15,0.54945,1.19E+02,1.00E+00,1.00E+00,5.34E+00,7.14E-01,0.00E+00,1.30E+00,8.74E+01,1.04E+01,1.04E+01,1.36E-01,1.36E-01,7.28E-01,2.38E+00,2.38E+00,7.55E-01,1.72E-02,0.00E+00,1.00E+00,1.00E+00,6.06E+00
56,0,1,1,6,1,1,298.15,0.55944,1.21E+02,1.00E+00,1.00E+00,5.45E+00,7.27E-01,0.00E+00,1.30E+00,8.71E+01,1.02E+01,1.02E+01,1.34E-01,1.34E-01,7.32E-01,2.30E+00,2.30E+00,7.65E-01,1.75E-02,0.00E+00,1.00E+00,1.00E+00,6.18E+00
57,0,1,1,6,1,1,298.15,0.56943,1.23E+02,1.00E+00,1.00E+00,5.57E+00,7.41E-01,0.00E+00,1.29E+00,8.68E+01,9.96E+00,9.96E+00,1.32E-01,1.32E-01,7.36E-01,2.23E+00,2.23E+00,7.74E-01,1.78E-02,0.00E+00,1.00E+00,1.00E+00,6.31E+00
58,0,1,1,6,1,1,298.15,0.57942,1.25E+02,1.00E+00,1.00E+00,5.69E+00,7.54E-01,0.00E+00,1.29E+00,8.66E+01,9.75E+00,9.75E+00,1.30E-01,1.30E-01,7.40E-01,2.16E+00,2.16E+00,7.83E-01,1.81E-02,0.00E+00,1.00E+00,1.00E+00,6.45E+00
59,0,1,1,6,1,1,298.15,0.58941,1.27E+02,1.00E+00,1.00E+00,5.82E+00,7.67E-01,0.00E+00,1.28E+00,8.63E+01,9.54E+00,9.54E+00,1.28E-01,1.28E-01,7.44E-01,2.09E+00,2.09E+00,7.92E-01,1.84E-02,0.00E+00,1.00E+00,1.00E+00,6.59E+00
60,0,1,1,6,1,1,298.15,0.5994,1.30E+02,1.00E+00,1.00E+00,5.95E+00,7.80E-01,0.00E+00,1.28E+00,8.60E+01,9.32E+00,9.32E+00,1.26E-01,1.26E-01,7.49E-01,2.02E+00,2.02E+00,8.01E-01,1.87E-02,0.00E+00,1.00E+00,1.00E+00,6.73E+00
61,0,1,1,6,1,1,298.15,0.60939,1.32E+02,1.00E+00,1.00E+00,6.09E+00,7.94E-01,0.00E+00,1.27E+00,8.57E+01,9.11E+00,9.11E+00,1.24E-01,1.24E-01,7.53E-01,1.96E+00,1.96E+00,8.10E-01,1.90E-02,0.00E+00,1.00E+00,1.00E+00,6.88E+00
62,0,1,1,5,1,1,298.15,0.61938,1.35E+02,1.00E+00,1.00E+00,6.23E+00,8.07E-01,0.00E+00,1.27E+00,8.54E+01,8.91E+00,8.91E+00,1.21E-01,1.21E-01,7.57E-01,1.89E+00,1.89E+00,8.18E-01,1.94E-02,0.00E+00,1.00E+00,1.00E+00,7.04E+00
63,0,1,1,6,1,1,298.15,0.62937,1.37E+02,1.00E+00,1.00E+00,6.38E+00,8.20E-01,0.00E+00,1.26E+00,8.51E+01,8.70E+00,8.70E+00,1.19E-01,1.19E-01,7.61E-01,1.83E+00,1.83E+00,8.27E-01,1.97E-02,0.00E+00,1.00E+00,1.00E+00,7.20E+00
64,0,1,1,5,1,1,298.15,0.63936,1.40E+02,1.00E+00,1.00E+00,6.54E+00,8.33E-01,0.00E+00,1.26E+00,8.49E+01,8.49E+00,8.49E+00,1.17E-01,1.17E-01,7.66E-01,1.77E+00,1.77E+00,8.35E-01,2.00E-02,0.00E+00,1.00E+00,1.00E+00,7.37E+00
65,0,1,1,6,1,1,298.15,0.64935,1.43E+02,1.00E+00,1.00E+00,6.70E+00,8.47E-01,0.00E+00,1.25E+00,8.46E+01,8.28E+00,8.28E+00,1.15E-01,1.15E-01,7.70E-01,1.72E+00,1.72E+00,8.43E-01,2.03E-02,0.00E+00,1.00E+00,1.00E+00,7.55E+00
66,0,1,1,6,1,1,298.15,0.65934,1.46E+02,1.00E+00,1.00E+00,6.87E+00,8.60E-01,0.00E+00,1.25E+00,8.43E+01,8.08E+00,8.08E+00,1.13E-01,1.13E-01,7.75E-01,1.66E+00,1.66E+00,8.51E-01,2.06E-02,0.00E+00,1.00E+00,1.00E+00,7.73E+00
67,0,1,1,4,1,1,298.15,0.66933,1.49E+02,1.00E+00,1.00E+00,7.05E+00,8.73E-01,0.00E+00,1.24E+00,8.40E+01,7.87E+00,7.87E+00,1.10E-01,1.10E-01,7.79E-01,1.61E+00,1.61E+00,8.59E-01,2.09E-02,0.00E+00,1.00E+00,1.00E+00,7.92E+00
68,0,1,1,5,1,1,298.15,0.67932,1.53E+02,1.00E+00,1.00E+00,7.24E+00,8.87E-01,0.00E+00,1.24E+00,8.37E+01,7.67E+00,7.67E+00,1.08E-01,1.08E-01,7.84E-01,1.56E+00,1.56E+00,8.67E-01,2.12E-02,0.00E+00,1.00E+00,1.00E+00,8.13E+00
69,0,1,1,6,1,1,298.15,0.68931,1.56E+02,1.00E+00,1.00E+00,7.44E+00,9.00E-01,0.00E+00,1.23E+00,8.34E+01,7.46E+00,7.46E+00,1.06E-01,1.06E-01,7.88E-01,1.51E+00,1.51E+00,8.75E-01,2.15E-02,0.00E+00,1.00E+00,1.00E+00,8.34E+00
70,0,1,1,6,1,1,298.15,0.6993,1.60E+02,1.00E+00,1.00E+00,7.65E+00,9.13E-01,0.00E+00,1.23E+00,8.31E+01,7.26E+00,7.26E+00,1.04E-01,1.04E-01,7.93E-01,1.46E+00,1.46E+00,8.82E-01,2.19E-02,0.00E+00,1.00E+00,1.00E+00,8.56E+00
71,0,1,1,6,1,1,298.15,0.70929,1.64E+02,1.00E+00,1.00E+00,7.87E+00,9.27E-01,0.00E+00,1.22E+00,8.29E+01,7.05E+00,7.05E+00,1.01E-01,1.01E-01,7.97E-01,1.41E+00,1.41E+00,8.90E-01,2.22E-02,0.00E+00,1.00E+00,1.00E+00,8.80E+00
72,0,1,1,6,1,1,298.15,0.71928,1.68E+02,1.00E+00,1.00E+00,8.11E+00,9.40E-01,0.00E+00,1.22E+00,8.26E+01,6.85E+00,6.85E+00,9.89E-02,9.89E-02,8.02E-01,1.37E+00,1.37E+00,8.97E-01,2.25E-02,0.00E+00,1.00E+00,1.00E+00,9.05E+00
73,0,1,1,6,1,1,298.15,0.72927,1.73E+02,1.00E+00,1.00E+00,8.36E+00,9.53E-01,0.00E+00,1.21E+00,8.23E+01,6.64E+00,6.64E+00,9.65E-02,9.65E-02,8.07E-01,1.33E+00,1.33E+00,9.04E-01,2.28E-02,0.00E+00,1.00E+00,1.00E+00,9.31E+00
74,0,1,1,6,1,1,298.15,0.73926,1.77E+02,1.00E+00,1.00E+00,8.63E+00,9.67E-01,0.00E+00,1.21E+00,8.20E+01,6.43E+00,6.43E+00,9.41E-02,9.41E-02,8.12E-01,1.28E+00,1.28E+00,9.11E-01,2.31E-02,0.00E+00,1.00E+00,1.00E+00,9.60E+00
75,0,1,1,6,1,1,298.15,0.74925,1.83E+02,1.00E+00,1.00E+00,8.92E+00,9.80E-01,0.00E+00,1.20E+00,8.17E+01,6.22E+00,6.22E+00,9.16E-02,9.16E-02,8.17E-01,1.24E+00,1.24E+00,9.17E-01,2.34E-02,0.00E+00,1.00E+00,1.00E+00,9.90E+00
76,0,1,1,6,1,1,298.15,0.75924,1.88E+02,1.00E+00,1.00E+00,9.23E+00,9.94E-01,0.00E+00,1.19E+00,8.14E+01,6.01E+00,6.01E+00,8.90E-02,8.90E-02,8.22E-01,1.21E+00,1.21E+00,9.24E-01,2.37E-02,0.00E+00,1.00E+00,1.00E+00,1.02E+01
77,0,1,1,6,1,1,298.15,0.76923,1.94E+02,1.00E+00,1.00E+00,9.56E+00,1.01E+00,0.00E+00,1.19E+00,8.10E+01,5.80E+00,5.80E+00,8.65E-02,8.65E-02,8.27E-01,1.17E+00,1.17E+00,9.30E-01,2.40E-02,0.00E+00,1.00E+00,1.00E+00,1.06E+01
78,0,1,1,6,1,1,298.15,0.77922,2.01E+02,1.00E+00,1.00E+00,9.93E+00,1.02E+00,0.00E+00,1.18E+00,8.07E+01,5.59E+00,5.59E+00,8.38E-02,8.38E-02,8.32E-01,1.13E+00,1.13E+00,9.36E-01,2.44E-02,0.00E+00,1.00E+00,1.00E+00,1.09E+01
79,0,1,1,6,1,1,298.15,0.78921,2.08E+02,1.00E+00,1.00E+00,1.03E+01,1.03E+00,0.00E+00,1.18E+00,8.04E+01,5.38E+00,5.38E+00,8.12E-02,8.12E-02,8.38E-01,1.09E+00,1.09E+00,9.42E-01,2.47E-02,0.00E+00,1.00E+00,1.00E+00,1.14E+01
80,0,1,1,6,1,1,298.15,0.7992,2.15E+02,1.00E+00,1.00E+00,1.08E+01,1.05E+00,0.00E+00,1.17E+00,8.01E+01,5.16E+00,5.16E+00,7.84E-02,7.84E-02,8.43E-01,1.06E+00,1.06E+00,9.48E-01,2.50E-02,0.00E+00,1.00E+00,1.00E+00,1.18E+01
81,0,1,1,6,1,1,298.15,0.80919,2.24E+02,1.00E+00,1.00E+00,1.12E+01,1.06E+00,0.00E+00,1.16E+00,7.98E+01,4.94E+00,4.94E+00,7.56E-02,7.56E-02,8.49E-01,1.03E+00,1.03E+00,9.53E-01,2.53E-02,0.00E+00,1.00E+00,1.00E+00,1.23E+01
82,0,1,1,5,1,1,298.15,0.81918,2.33E+02,1.00E+00,1.00E+00,1.17E+01,1.07E+00,0.00E+00,1.16E+00,7.94E+01,4.72E+00,4.72E+00,7.27E-02,7.27E-02,8.55E-01,9.95E-01,9.95E-01,9.59E-01,2.56E-02,0.00E+00,1.00E+00,1.00E+00,1.28E+01
83,0,1,1,6,1,1,298.15,0.82917,2.44E+02,1.00E+00,1.00E+00,1.23E+01,1.09E+00,0.00E+00,1.15E+00,7.91E+01,4.50E+00,4.50E+00,6.98E-02,6.98E-02,8.60E-01,9.64E-01,9.64E-01,9.64E-01,2.59E-02,0.00E+00,1.00E+00,1.00E+00,1.34E+01
84,0,1,1,6,1,1,298.15,0.83916,2.55E+02,1.00E+00,1.00E+00,1.30E+01,1.10E+00,0.00E+00,1.15E+00,7.88E+01,4.28E+00,4.28E+00,6.68E-02,6.68E-02,8.66E-01,9.35E-01,9.35E-01,9.68E-01,2.62E-02,0.00E+00,1.00E+00,1.00E+00,1.41E+01
85,0,1,1,6,1,1,298.15,0.84915,2.68E+02,1.00E+00,1.00E+00,1.37E+01,1.11E+00,0.00E+00,1.14E+00,7.84E+01,4.05E+00,4.05E+00,6.36E-02,6.36E-02,8.73E-01,9.06E-01,9.06E-01,9.73E-01,2.65E-02,0.00E+00,1.00E+00,1.00E+00,1.48E+01
86,0,1,1,6,1,1,298.15,0.85914,2.83E+02,1.00E+00,1.00E+00,1.45E+01,1.13E+00,0.00E+00,1.13E+00,7.80E+01,3.82E+00,3.82E+00,6.04E-02,6.04E-02,8.79E-01,8.78E-01,8.78E-01,9.77E-01,2.69E-02,0.00E+00,1.00E+00,1.00E+00,1.57E+01
87,0,1,1,6,1,1,298.15,0.86913,3.00E+02,1.00E+00,1.00E+00,1.55E+01,1.14E+00,0.00E+00,1.12E+00,7.77E+01,3.58E+00,3.58E+00,5.71E-02,5.71E-02,8.86E-01,8.52E-01,8.52E-01,9.81E-01,2.72E-02,0.00E+00,1.00E+00,1.00E+00,1.66E+01
88,0,1,1,6,1,1,298.15,0.87912,3.21E+02,1.00E+00,1.00E+00,1.66E+01,1.15E+00,0.00E+00,1.12E+00,7.73E+01,3.34E+00,3.34E+00,5.37E-02,5.37E-02,8.93E-01,8.27E-01,8.27E-01,9.85E-01,2.75E-02,0.00E+00,1.00E+00,1.00E+00,1.78E+01
89,0,1,1,6,1,1,298.15,0.88911,3.44E+02,1.00E+00,1.00E+00,1.79E+01,1.17E+00,0.00E+00,1.11E+00,7.69E+01,3.09E+00,3.09E+00,5.02E-02,5.02E-02,9.00E-01,8.03E-01,8.03E-01,9.88E-01,2.78E-02,0.00E+00,1.00E+00,1.00E+00,1.91E+01
90,0,1,1,6,1,1,298.15,0.8991,3.72E+02,1.00E+00,1.00E+00,1.95E+01,1.18E+00,0.00E+00,1.10E+00,7.65E+01,2.84E+00,2.84E+00,4.65E-02,4.65E-02,9.07E-01,7.81E-01,7.81E-01,9.91E-01,2.81E-02,0.00E+00,1.00E+00,1.00E+00,2.07E+01
91,0,1,1,6,1,1,298.15,0.90909,4.07E+02,1.00E+00,1.00E+00,2.14E+01,1.20E+00,0.00E+00,1.09E+00,7.61E+01,2.59E+00,2.59E+00,4.27E-02,4.27E-02,9.15E-01,7.60E-01,7.60E-01,9.94E-01,2.84E-02,0.00E+00,1.00E+00,1.00E+00,2.26E+01
92,0,1,1,6,1,1,298.15,0.91908,4.50E+02,1.00E+00,1.00E+00,2.38E+01,1.21E+00,0.00E+00,1.08E+00,7.57E+01,2.33E+00,2.33E+00,3.87E-02,3.87E-02,9.23E-01,7.40E-01,7.40E-01,9.96E-01,2.87E-02,0.00E+00,1.00E+00,1.00E+00,2.50E+01
93,0,1,1,6,1,1,298.15,0.92907,5.06E+02,1.00E+00,1.00E+00,2.69E+01,1.22E+00,0.00E+00,1.07E+00,7.53E+01,2.06E+00,2.06E+00,3.46E-02,3.46E-02,9.31E-01,7.22E-01,7.22E-01,9.98E-01,2.90E-02,0.00E+00,1.00E+00,1.00E+00,2.81E+01
94,0,1,1,6,1,1,298.15,0.93906,5.79E+02,1.00E+00,1.00E+00,3.10E+01,1.24E+00,0.00E+00,1.06E+00,7.49E+01,1.79E+00,1.79E+00,3.03E-02,3.03E-02,9.39E-01,7.07E-01,7.07E-01,1.00E+00,2.93E-02,0.00E+00,1.00E+00,1.00E+00,3.22E+01
95,0,1,1,6,1,1,298.15,0.94905,6.83E+02,1.00E+00,1.00E+00,3.67E+01,1.25E+00,0.00E+00,1.05E+00,7.44E+01,1.51E+00,1.51E+00,2.58E-02,2.58E-02,9.48E-01,6.94E-01,6.94E-01,1.00E+00,2.97E-02,0.00E+00,1.00E+00,1.00E+00,3.80E+01
96,0,1,1,6,1,1,298.15,0.95904,8.37E+02,1.00E+00,1.00E+00,4.53E+01,1.26E+00,0.00E+00,1.04E+00,7.40E+01,1.23E+00,1.23E+00,2.11E-02,2.11E-02,9.58E-01,6.85E-01,6.85E-01,1.00E+00,3.00E-02,0.00E+00,1.00E+00,1.00E+00,4.66E+01
97,0,1,1,6,1,1,298.15,0.96903,1.09E+03,1.00E+00,1.00E+00,5.94E+01,1.28E+00,0.00E+00,1.03E+00,7.35E+01,9.34E-01,9.34E-01,1.63E-02,1.63E-02,9.67E-01,6.81E-01,6.81E-01,1.00E+00,3.03E-02,0.00E+00,1.00E+00,1.00E+00,6.07E+01
98,0,1,1,6,1,1,298.15,0.97902,1.59E+03,1.00E+00,1.00E+00,8.73E+01,1.29E+00,0.00E+00,1.02E+00,7.30E+01,6.36E-01,6.36E-01,1.12E-02,1.12E-02,9.78E-01,6.85E-01,6.85E-01,1.00E+00,3.06E-02,0.00E+00,1.00E+00,1.00E+00,8.85E+01
99,0,1,1,5,1,1,298.15,0.98901,3.03E+03,1.00E+00,1.00E+00,1.67E+02,1.30E+00,0.00E+00,1.01E+00,7.25E+01,3.33E-01,3.33E-01,5.93E-03,5.93E-03,9.88E-01,7.10E-01,7.10E-01,1.00E+00,3.09E-02,0.00E+00,1.00E+00,1.00E+00,1.68E+02
100,0,1,1,9,1,1,298.15,0.999,3.44E+04,1.00E+00,1.00E+00,1.90E+03,1.32E+00,0.00E+00,9.98E-01,7.20E+01,2.92E-02,2.92E-02,5.25E-04,5.25E-04,9.99E-01,8.52E-01,8.52E-01,1.00E+00,3.12E-02,0.00E+00,1.00E+00,1.00E+00,1.90E+03